Number,Name,Position,Height,Weight,Class,Hometown
2,Dexter Williams,RB,71,215,Sr.,"Orlando, FL/West Orange"
2,Jordan Genmark Heath,LB,73,225,Soph.,"San Diego, CA/Cathedral Catholic"
3,Avery Davis,QB,71,204,Soph.,"Cedar Hill, TX/HS"
3,Houston Griffith,S,72,205,Fr.,"Chicago, IL/IMG Academy (FL)"
4,Te'von Coney,LB,73,240,Sr.,"Palm Beach Gardens, FL/HS"
4,Kevin Austin,WR,74,197,Fr.,"Ft. Lauderdale, FL/North Broward Prep"
5,Troy Pride Jr.,CB,71,190,Jr.,"Greer, SC/HS"
6,Tony Jones Jr.,RB,71,220,Jr.,"St. Petersburg, FL/IMG Academy"
7,Brandon Wimbush,QB,74,222,Sr.,"Teaneck, NJ/St. Peter's Prep"
7,Derrik Allen,S,73,213,Fr.,"Marietta, GA/Lassiter"
8,Jafar Armstrong,RB/WR,73,218,Soph.,"Lee's Summit, MO/Bishop Miege"
8,Donte Vaughn,CB,75,211,Jr.,"Memphis, TN/Whitehaven"
9,Daelin Hayes,DE,76,265,Jr.,"Belleville, MI/Skyline"
9,Patrick Pelini*,S,73,190,Soph.,"Youngstown, OH/Cardinal Mooney"
10,Chris Finke,WR,69,180,Sr.,"Dayton, OH/Kettering Alter"
11,Alohi Gilman,S,70,202,Jr.,"Laie, HI/Kahuku"
12,Ian Book,QB,72,203,Jr.,"El Dorado Hills, CA/Oak Ridge"
12,D.J. Brown,CB,72,191,Fr.,"Crownsville, MD/St. John's College"
13,Lawrence Keys,WR,70,170,Fr.,"New Orleans, LA/McDonogh 35"
13,Paul Moala,S,71,212,Fr.,"Mishawaka, IN/Penn"
14,Devin Studstill,S,72,200,Jr.,"Riviera Beach, FL/Palm Beach Gardens"
14,J.D. Carney*,QB,70,178,Soph.,"San Diego, CA/Cathedral Catholic"
15,Phil Jurkovec,QB,76,220,Fr.,"Pittsburgh, PA/Pine-Richland"
15,D.J. Morgan,LB,74,224,Jr.,"Norwalk, CA/St. John Bosco"
16,Noah Boykin,CB,73,178,Fr.,"Washington, DC/Woodson"
17,Isaiah Robertson,WR,73,215,Soph.,"Bolingbrook, IL/Neuqua Valley"
17,Nolan Henry*,QB,72,202,Sr.,"Vancouver, WA/Union"
18,Joe Wilkins Jr.,WR/DB,73,185,Fr.,"North Ft. Myers, FL/HS"
18,Cameron Ekanayake*,RB,72,193,Soph.,"Niles, MI/Edwardsburg"
19,Justin Yoon,K,70,198,Sr.,"Nashville, TN/Milton Academy (MA)"
19,Justin Ademilola,DE,74,246,Fr.,"Jackson, NJ/St. Peter's Prep"
20,C'Borius Flemister,RB,71,196,Fr.,"Williamson, GA/Pike County"
20,Shaun Crawford,CB,69,181,Sr.,"Lakewood, OH/St. Edward"
21,Jalen Elliott,S,72,205,Jr.,"Richmond, VA/Lloyd C. Bird"
22,Asmar Bilal,Rov,74,225,Sr.,"Indianapolis, IN/Ben Davis"
23,Drue Tranquill,LB,74,235,5th,"Fort Wayne, IN/Carroll"
24,Tommy Tremble,TE,75,228,Fr.,"Johns Creek, GA/Wesleyan"
24,Nick Coleman,S,72,194,Sr.,"Dayton, OH/Kettering Alter"
25,Braden Lenzy,WR,71,170,Fr.,"Tigard, OR/HS"
25,John Mahoney*,S,72,204,Soph.,"West Des Moines, IA/Valley"
26,Leo Albano*,WR,74,205,Fr.,"Charleston, SC/Bishop England"
26,Temitope Agoro*,CB,72,205,Jr.,"Riverdale, MD/Parkdale"
27,Julian Love,CB,71,193,Jr.,"Westchester, IL/Nazareth Academy"
27,Arion Shinaver*,WR,73,186,Jr.,"Carmel, IL/Guerin Catholic"
28,Nicco Fertitta,S,69,181,Sr.,"Las Vegas, NV/Bishop Gorman"
29,Ovie Oghoufo,Rov,75,223,Fr.,"Lathrup Village, MI/Harrison"
29,Matt Salerno,WR,72,185,Fr.,"Encino, CA/Crespi"
30,Jeremiah Owusu-Koramoah,Rov,73,215,Soph.,"Hampton, VA/Bethel"
30,Jake Rittman*,P,75,190,Fr.,"Lawrence, KS/Free State"
31,Jack Lamb,LB,76,226,Fr.,"Temecula, CA/Great Oak"
31,Cole Capen*,QB,77,220,Fr.,"Orange, CA/Lutheran"
32,Mick Assaf*,RB,71,211,Jr.,"Atlanta, GA/Pace Academy"
33,Shayne Simon,Rov,75,222,Fr.,"West Orange, NJ/St. Peter's Prep"
33,Keenan Sweeney,FB,72,237,5th,"Snellville, GA/Brookwood (Auburn)"
34,Jahmir Smith,RB,71,205,Fr.,"Sanford, NC/Lee County"
35,TaRiq Bracy,CB,70,170,Fr.,"Milpitas, CA/HS"
36,Brian Ball*,CB,70,197,Sr.,"Indianapolis, IN/Bishop Chatard"
37,Robert Regan*,Rov,74,213,Sr.,"Darien, IL/Hinsdale South"
38,Christopher Schilling*,S,71,212,Jr.,"Overland Park, KS/St. Thomas Aquinas"
39,Jonathan Doerer,P/K,75,200,Soph.,"Charlotte, NC/South Mecklenburg"
39,Brandon Garcia*,CB/WR,68,195,Jr.,"Casa Grande, AZ/Seton Catholic"
40,Drew White,LB,72,228,Soph.,"Boca Raton, FL/St. Thomas Aquinas"
41,Kurt Hinish,DT,74,295,Soph.,"Pittsburgh, PA/Central Catholic"
42,Julian Okwara,DE,76,241,Jr.,"Charlotte, NC/Ardrey Kell"
42,Jeff Riney,P,71,181,Sr.,"Katy, TX/Seven Lakes"
43,Marcus Thorne*,S,74,200,Fr.,"Washington, IN/Community"
43,Greg Malley*,WR,73,190,Fr.,"Hudson, OH/HS"
44,Jamir Jones,DE,75,245,Jr.,"Rochester, NY/Aquinas Institute"
45,Jonathan Jones,LB,71,227,Jr.,"Ocoee, FL/Oak Ridge"
46,Matt Bushland*,LS,74,210,Jr.,"Dallas, TX/John Paul II"
46,Jimmy Thompson*,LB,72,217,Sr.,"Hinsdale, IL/Central"
47,Kofi Wardlow,DE,74,245,Soph.,"Washington, DC/St. John's Collegiate"
48,Xavier Lezynski*,TE,73,195,Soph.,"Newtown, PA/Notre Dame (NJ)"
49,Jack Henige*,TE,77,240,Soph.,"Hinsdale, IL/Fenwick"
49,Brandon Hutson*,DE,75,245,Sr.,"Battle Creek, MI/Harper Creek"
51,Devyn Spruell*,LB,74,240,Sr.,"Warren, NJ/Watchung Hills"
52,Bo Bauer,LB,75,225,Fr.,"Harborcreek, PA/Eric Cathedral"
53,Khalid Kareem,DE,76,265,Jr.,"Detroit, MI/Harrison"
53,Sam Mustipher,OL,74,306,5th,"Olney, MD/Good Counsel"
54,Lincoln Feist*,DT,74,330,Sr.,"Rapid City, SD/St. Thomas More"
54,John Shannon,LS,74,235,Jr.,"Lake Forest, IL/Loyola Academy"
55,Jonathan Bonner,DT,76,295,5th,"Chesterfield, MO/Parkway Central"
55,Jarrett Patterson,OL,76,290,Fr.,"Laguna Hills, CA/Mission Viejo"
56,John Dirksen,OL,77,303,Fr.,"Maria Stein, OH/Marion Local"
57,Trevor Ruhland,OL,75,295,Sr.,"Cary, IL/Cary-Grove"
57,Jayson Ademilola,DT,75,284,Fr.,"Jackson, NJ/St. Peter's Prep"
60,Cole Mabry,OL,77,270,Fr.,"Brentwood, TN/HS"
61,Colin Grunhard*,OL,72,280,Soph.,"Mission, KS/Bishop Miege"
62,Logan Plantz*,OL,74,284,Sr.,"Frankfort, IL/Providence Catholic"
63,Cody Benjamin*,OL,75,230,Fr.,"Tampa, Fla./Berkeley Prep"
64,Max Siegel*,OL,73,306,Fr.,"Indianapolis, IN/Brebeuf Jesuit Prep"
65,Michael Vinson*,LS,74,228,Fr.,"Winnetka, IL/New Trier"
69,Aaron Banks,OL,78,319,Soph.,"Alameda, CA/El Cerrito"
70,Luke Jones,OL,77,303,Fr.,"Little Rock, AR/Pulaski Academy"
71,Alex Bars,OL,78,315,5th,"Nashville, TN/Montgomery Bell"
72,Robert Hainsey,OL,76,295,Soph.,"Pittsburgh, PA/IMG Academy (FL)"
74,Liam Eichenberg,OL,78,308,Jr.,"Cleveland, OH/St. Ignatius"
75,Josh Lugg,OL,79,314,Soph.,"Wexford, PA/North Allegheny"
76,Dillan Gibbons,OL,76,313,Soph.,"Clearwater, FL/Central Catholic"
78,Tommy Kraemer,OL,77,316,Jr.,"Cincinnati, OH/Elder"
80,Micah Jones,WR,76,212,Fr.,"Gurnee, IL/Warren Township"
81,Miles Boykin,WR,76,228,Sr.,"Tinley Park, IL/Providence Catholic"
82,Nic Weishar,TE,77,246,5th,"Midlothian, IL/Marist"
83,Chase Claypool,WR,76,227,Jr.,"Abbotsford, BC/Abbotsford"
84,Cole Kmet,TE,77,258,Soph.,"Lake Barrington, IL/St. Viator"
85,George Takacs,TE,78,250,Fr.,"Naples, FL/Gulf Coast"
86,Alizé Mack,TE,77,247,Sr.,"Las Vegas, NV/Bishop Gorman"
87,Michael Young,WR,70,185,Soph.,"St. Rose, LA/Destrehan"
88,Javon McKinley,WR,74,219,Jr.,"Corona, CA/Centennial"
89,Brock Wright,TE,76,260,Soph.,"Cypress, TX/Cy-Fair"
91,Adetokunbo Ogundeji,DE,76,255,Jr.,"West Bloomfield, MI/Walled Lake Central"
94,Darnell Ewell,DT,75,330,Soph.,"Norfolk, VA/Lake Taylor"
95,Myron Tagovailoa-Amosa,DT,74,285,Soph.,"Ewa Beach, HI/Kapolei"
97,Micah Dew-Treadway,DT,76,300,Sr.,"Bolingbrook, IL/HS"
98,Ja'Mion Franklin,DT,73,306,Fr.,"Ridgely, MD/North Caroline"
99,Jerry Tillery,DT,79,305,Sr.,"Shreveport, LA/Evangel Christian"
